obs.ID,PLOT_CODE,SITEABBR,PLOT_ID,YEAR,BASE_REP,TARGET_HAB,light.mean,moist.mean,ph.mean,fert.mean,comp.mean,stress.mean,rud.mean,light.mean.wt,moist.mean.wt,ph.mean.wt,fert.mean.wt,comp.mean.wt,stress.mean.wt,rud.mean.wt
BBE30_2012,BBE_30,BBE,30,2012,base,Broadleaved woodland,5.75,6,7.5,3.5,3.5,3.5,0.5,5.958333333,6.083333333,7.166666667,2.833333333,2.333333333,2.333333333,0.333333333
BBE31_2012,BBE_31,BBE,31,2012,base,Broadleaved woodland,4,5.5,6.5,3.5,3.5,3.5,0.5,4.866666667,6.8,5.2,2.2,0.466666667,0.466666667,0.066666667
BBE32_2012,BBE_32,BBE,32,2012,base,Broadleaved woodland,4.6,5.6,5.8,3,4.8,3,0.6,5.695652174,6.956521739,6.898550725,3.637681159,5.289855072,3.724637681,0.68115942
BBE33_2012,BBE_33,BBE,33,2012,base,Broadleaved woodland,5,6,8,5,7,7,1,5,6,8,5,7,7,1
BBE34_2012,BBE_34,BBE,34,2012,base,Broadleaved woodland,6,7,8.333333333,4.333333333,7,7,1,5.857142857,6.857142857,8.095238095,4.80952381,7,7,1
BBE35_2012,BBE_35,BBE,35,2012,base,Broadleaved woodland,5,6,8,5,7,7,1,6.714285714,7.714285714,8,5,7,7,1
BBE36_2012,BBE_36,BBE,36,2012,base,Broadleaved woodland,5,6,8,5,7,7,1,6.666666667,7.666666667,8,5,7,7,1
BBE37_2012,BBE_37,BBE,37,2012,base,Broadleaved woodland,5,6,8,5,7,7,1,5.307692308,6.307692308,8,5,7,7,1
BBE38_2012,BBE_38,BBE,38,2012,base,Broadleaved woodland,3.75,4.5,6,3.75,5.25,5.25,0.75,5.80952381,6.761904762,7.619047619,4.761904762,6.666666667,6.666666667,0.952380952
BBE39_2012,BBE_39,BBE,39,2012,base,Broadleaved woodland,5.333333333,6.333333333,8,5.5,6.833333333,6.833333333,1,6.3,7.3,8,5.175,6.975,6.975,1
BBE4_2012,BBE_4,BBE,4,2012,base,Broadleaved woodland,5,6.2,7.6,3.4,5,6,0.8,5,6.148148148,7.925925926,3.592592593,5.740740741,6.111111111,0.851851852
BBE40_2012,BBE_40,BBE,40,2012,base,Broadleaved woodland,4.2,5.2,6.4,3.4,4.8,3,0.6,4.692307692,5.692307692,8,4.384615385,6.153846154,5.461538462,0.846153846
BBE41_2012,BBE_41,BBE,41,2012,base,Broadleaved woodland,4.5,5.75,7.75,5,4.5,5.75,0.75,4.6,5.8,8,5,5,6,0.8
BBE43_2012,BBE_43,BBE,43,2012,base,Lowland fen,6.866666667,8,8.866666667,3.866666667,4.933333333,4.733333333,1.733333333,6.767857143,8.1875,7.857142857,2.991071429,3.866071429,3.285714286,1.017857143
BBE44_2012,BBE_44,BBE,44,2012,base,Lowland fen,5.730769231,6.384615385,7,2.884615385,3.653846154,4.346153846,1.653846154,5.100478469,5.923444976,6.483253589,2.416267943,3.626794258,3.545454545,0.985645933
BBE45_2012,BBE_45,BBE,45,2012,base,Lowland fen,5.52,6.08,6.44,2.64,2.64,3.76,1.56,6.048888889,6.28,7.017777778,2.56,2.56,3.893333333,1.453333333
